測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
000795.SZ,荎醫貌,1997-08-08,N/A,2.5676,2.626,2.4509,2.5233,33699600,365306989.3,N/A,N/A,10.8401,68.08,535095000,N/A,1675550000,49500000,0,155000000,48.9164,17.9984,8.8907,N/A,
000795.SZ,荎醫貌,1997-08-11,2.5233,2.4952,2.5629,2.2712,2.2782,12132200,122583142.1,-0.2451,-9.7132,10.1039,24.5095,483120000,N/A,1512800000,49500000,0,155000000,44.1651,16.2502,8.0272,N/A,
000795.SZ,荎醫貌,1997-08-12,2.2782,2.1545,2.3529,2.1545,2.1918,6007100,57545847.4,-0.0864,-3.791,9.5796,12.1356,464805000,N/A,1455450000,49500000,0,155000000,42.4908,15.6341,7.7229,N/A,
000795.SZ,荎醫貌,1997-08-13,2.1918,2.1941,2.3108,2.1661,2.2058,3192600,30358141.6,0.014,0.639,9.5089,6.4497,467775000,N/A,1464750000,49500000,0,155000000,42.7623,15.734,7.7722,N/A,
000795.SZ,荎醫貌,1997-08-14,2.2058,2.2198,2.2852,2.2011,2.2315,2967300,28428740.7,0.0257,1.164,9.5807,5.9945,473220000,N/A,1481800000,49500000,0,155000000,43.26,15.9172,7.8627,N/A,
000795.SZ,荎醫貌,1997-08-15,2.2315,2.2128,2.2642,2.0307,2.1171,4245900,38932066.5,-0.1144,-5.1255,9.1693,8.5776,448965000,N/A,1405850000,49500000,0,155000000,41.0427,15.1013,7.4597,N/A,
000795.SZ,荎醫貌,1997-08-18,2.1171,2.1475,2.1475,1.9561,1.9677,1917200,16447349.8,-0.1494,-7.0562,8.5788,3.8731,417285000,N/A,1306650000,49500000,0,155000000,38.1467,14.0358,6.9333,N/A,
000795.SZ,荎醫貌,1997-08-19,1.9677,1.9164,2.0541,1.9164,2.0541,1313500,11091276.3,0.0864,4.3891,8.4441,2.6535,435600000,N/A,1364000000,49500000,0,155000000,39.821,14.6518,7.2376,N/A,
000795.SZ,荎醫貌,1997-08-20,2.0541,2.0307,2.0751,1.9841,2.0751,1334100,11632140.4,0.021,1.0227,8.7191,2.6952,440055000,N/A,1377950000,49500000,0,155000000,40.2282,14.8016,7.3116,N/A,
000795.SZ,荎醫貌,1997-08-21,2.0751,2.0891,2.1148,2.0074,2.1124,1774800,15698571.6,0.0373,1.7998,8.8453,3.5855,447975000,N/A,1402750000,49500000,0,155000000,40.9522,15.068,7.4432,N/A,
000795.SZ,荎醫貌,1997-08-22,2.1124,2.1008,2.1545,2.0611,2.1148,1803200,16401710.7,0.0023,0.1105,9.0959,3.6428,448470000,N/A,1404300000,49500000,0,155000000,40.9975,15.0847,7.4514,N/A,
000795.SZ,荎醫貌,1997-08-25,2.1148,2.1241,2.2642,2.0891,2.2478,3635600,33903044.1,0.133,6.2914,9.3253,7.3446,476685000,N/A,1492650000,49500000,0,155000000,43.5768,16.0337,7.9202,N/A,
000795.SZ,荎醫貌,1997-08-26,2.2478,2.2175,2.3249,2.1124,2.2688,4677000,45246696,0.021,0.9346,9.6743,9.4485,481140000,N/A,1506600000,49500000,0,155000000,43.9841,16.1836,7.9943,N/A,
000795.SZ,荎醫貌,1997-08-27,2.2688,2.2408,2.2992,2.1941,2.2898,3360300,32412967.6,0.021,0.9259,9.6459,6.7885,485595000,N/A,1520550000,49500000,0,155000000,44.3913,16.3334,8.0683,N/A,
000795.SZ,荎醫貌,1997-08-28,2.2898,2.2922,2.3085,2.2408,2.2432,1928900,18756071.7,-0.0467,-2.0387,9.7237,3.8968,475695000,N/A,1489550000,49500000,0,155000000,43.4863,16.0004,7.9038,N/A,
000795.SZ,荎醫貌,1997-08-29,2.2432,2.2198,2.2432,2.1708,2.1918,2353300,22226874.6,-0.0514,-2.2893,9.445,4.7541,464805000,N/A,1455450000,49500000,0,155000000,42.4908,15.6341,7.7229,N/A,
000795.SZ,荎醫貌,1997-09-01,2.1918,2.2081,2.3762,2.1918,2.3575,4398100,43558623.6,0.1657,7.5612,9.904,8.8851,499950000,N/A,1565500000,49500000,0,155000000,45.7036,16.8163,8.3068,N/A,
000795.SZ,荎醫貌,1997-09-02,2.3575,2.3575,2.3809,2.2992,2.3645,2744500,27525040.4,0.007,0.297,10.0292,5.5444,501435000,N/A,1570150000,49500000,0,155000000,45.8393,16.8662,8.3315,N/A,
000795.SZ,荎醫貌,1997-09-03,2.3645,2.3669,2.4416,2.3669,2.4042,4441500,45755539.1,0.0397,1.6782,10.3018,8.9727,509850000,N/A,1596500000,49500000,0,155000000,46.6086,17.1493,8.4713,N/A,
000795.SZ,荎醫貌,1997-09-04,2.4042,2.4462,2.4509,2.3715,2.3739,3939000,40803915.7,-0.0303,-1.2621,10.359,7.9576,503415000,N/A,1576350000,49500000,0,155000000,46.0204,16.9328,8.3644,N/A,
000795.SZ,荎醫貌,1997-09-05,2.3739,2.3762,2.4159,2.3529,2.3995,2581100,26405806.1,0.0257,1.0816,10.2304,5.2143,508860000,N/A,1593400000,49500000,0,155000000,46.5181,17.116,8.4548,N/A,
000795.SZ,荎醫貌,1997-09-08,2.3995,2.4182,2.4626,2.3855,2.4369,2725400,28320880.3,0.0373,1.5564,10.3915,5.5059,516780000,N/A,1618200000,49500000,0,155000000,47.2421,17.3824,8.5864,N/A,
000795.SZ,荎醫貌,1997-09-09,2.4369,2.4346,2.4439,2.3132,2.3225,1935900,19719603.2,-0.1144,-4.6935,10.1863,3.9109,492525000,N/A,1542250000,49500000,0,155000000,45.0248,16.5665,8.1834,N/A,
000795.SZ,荎醫貌,1997-09-10,2.3225,2.3132,2.3575,2.2782,2.3552,2085600,20696602.7,0.0327,1.407,9.9236,4.2133,499455000,N/A,1563950000,49500000,0,155000000,45.6583,16.7996,8.2986,N/A,
000795.SZ,荎醫貌,1997-09-11,2.3552,2.3622,2.3785,2.2408,2.2805,1845800,18184087.7,-0.0747,-3.1715,9.8516,3.7289,483615000,N/A,1514350000,49500000,0,155000000,44.2103,16.2668,8.0354,N/A,
000795.SZ,荎醫貌,1997-09-12,2.2805,2.2618,2.3319,2.2198,2.2268,1654200,16089992.2,-0.0537,-2.3541,9.7268,3.3418,472230000,N/A,1478700000,49500000,0,155000000,43.1695,15.8839,7.8462,N/A,
000795.SZ,荎醫貌,1997-09-15,2.2268,2.2081,2.2408,2.1498,2.1521,1047100,9847971.2,-0.0747,-3.3543,9.405,2.1154,456390000,N/A,1429100000,49500000,0,155000000,41.7215,15.3511,7.583,N/A,
000795.SZ,荎醫貌,1997-09-16,2.1521,2.1591,2.1941,2.1241,2.1661,548800,5079023.2,0.014,0.6508,9.2548,1.1087,459360000,N/A,1438400000,49500000,0,155000000,41.993,15.451,7.6324,N/A,
000795.SZ,荎醫貌,1997-09-17,2.1661,2.1708,2.1708,2.1008,2.1171,653000,5954223.9,-0.049,-2.2629,9.1183,1.3192,448965000,N/A,1405850000,49500000,0,155000000,41.0427,15.1013,7.4597,N/A,
000795.SZ,荎醫貌,1997-09-18,2.1171,2.1241,2.1871,2.1054,2.1498,578600,5338571.5,0.0327,1.5436,9.2267,1.1689,455895000,N/A,1427550000,49500000,0,155000000,41.6762,15.3344,7.5748,N/A,
000795.SZ,荎醫貌,1997-09-19,2.1498,2.1708,2.2151,2.1358,2.1778,606100,5643117,0.028,1.3029,9.3105,1.2244,461835000,N/A,1446150000,49500000,0,155000000,42.2193,15.5342,7.6735,N/A,
000795.SZ,荎醫貌,1997-09-22,2.1778,2.1778,2.1778,2.0144,2.0191,925800,8243890.4,-0.1587,-7.2883,8.9046,1.8703,428175000,N/A,1340750000,49500000,0,155000000,39.1422,14.4021,7.1142,N/A,
000795.SZ,荎醫貌,1997-09-23,2.0191,2.0191,2.0541,1.8207,1.8533,999800,8341078.8,-0.1657,-8.2081,8.3427,2.0198,393030000,N/A,1230700000,49500000,0,155000000,35.9294,13.2199,6.5303,N/A,
