ґъВл,јтіЖ,ИХЖЪ,З°КХЕМјЫ(ФЄ),їЄЕМјЫ(ФЄ),ЧоёЯјЫ(ФЄ),ЧоµНјЫ(ФЄ),КХЕМјЫ(ФЄ),іЙЅ»Бї(№Й),іЙЅ»Ѕр¶о(ФЄ),ХЗµш(ФЄ),ХЗµш·щ(%),ѕщјЫ(ФЄ),»»КЦВК(%),A№ЙБчНЁКРЦµ(ФЄ),B№ЙБчНЁКРЦµ(ФЄ),ЧЬКРЦµ(ФЄ),A№ЙБчНЁ№Й±ѕ(№Й),B№ЙБчНЁ№Й±ѕ(№Й),ЧЬ№Й±ѕ(№Й),КРУЇВК,КРѕ»ВК,КРПъВК,КРПЦВК,
002081.SZ,Ѕру«тл,2006-11-20,N/A,0.7357,0.7939,0.7247,0.7265,13360919,276426811.5,N/A,N/A,20.6892,69.5881,380928000,N/A,1864960000,19200000,0,94000000,40.4381,12.4019,1.4422,42.9839,
002081.SZ,Ѕру«тл,2006-11-21,0.7265,0.7551,0.799,0.7551,0.799,4780095,102530467.6,0.0725,9.9798,21.4495,24.8963,418944000,N/A,2051080000,19200000,0,94000000,44.4738,13.6396,1.5861,47.2736,
002081.SZ,Ѕру«тл,2006-11-22,0.799,0.8086,0.8789,0.8009,0.8789,6633027,151703582.2,0.0798,9.9908,22.8709,34.547,460800000,N/A,2256000000,19200000,0,94000000,48.9171,15.0023,1.7446,51.9966,
002081.SZ,Ѕру«тл,2006-11-23,0.8789,0.8712,0.9023,0.8503,0.8961,3713432,88727264.2,0.0172,1.9583,23.8936,19.3408,469824000,N/A,2300180000,19200000,0,94000000,49.875,15.2961,1.7788,53.0149,
002081.SZ,Ѕру«тл,2006-11-24,0.8961,0.8789,0.8972,0.8606,0.8752,1640099,39222195.7,-0.0209,-2.3294,23.9145,8.5422,458880000,N/A,2246600000,19200000,0,94000000,48.7133,14.9398,1.7373,51.78,
002081.SZ,Ѕру«тл,2006-11-27,0.8752,0.8807,0.8899,0.8642,0.8825,1394850,33401280.9,0.0073,0.8368,23.9461,7.2648,462720000,N/A,2265400000,19200000,0,94000000,49.1209,15.0649,1.7519,52.2133,
002081.SZ,Ѕру«тл,2006-11-28,0.8825,0.8712,0.8715,0.8166,0.8368,2439212,55585705,-0.0458,-5.1867,22.7884,12.7042,438720000,N/A,2147900000,19200000,0,94000000,46.5731,14.2835,1.661,49.5051,
002081.SZ,Ѕру«тл,2006-11-29,0.8368,0.8203,0.8496,0.8012,0.8349,1323530,30212193.9,-0.0018,-0.2188,22.827,6.8934,437760000,N/A,2143200000,19200000,0,94000000,46.4712,14.2522,1.6574,49.3968,
002081.SZ,Ѕру«тл,2006-11-30,0.8349,0.8379,0.8598,0.8261,0.8346,1386174,31837557.2,-0.0004,-0.0439,22.9679,7.2197,437568000,N/A,2142260000,19200000,0,94000000,46.4508,14.246,1.6566,49.3751,
002081.SZ,Ѕру«тл,2006-12-01,0.8346,0.8412,0.8712,0.8269,0.8668,1657854,38557818.6,0.0322,3.8613,23.2577,8.6347,454464000,N/A,2224980000,19200000,0,94000000,48.2445,14.7961,1.7206,51.2817,
