╢ЗбК,╪РЁф,хуфз,г╟йуел╪ш(т╙),©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),Ёи╫╩╫П╤Н(т╙),уг╣Ь(т╙),уг╣Ь╥Ы(%),╬Ы╪ш(т╙),╩╩йжбй(%),A╧иаВм╗йпж╣(т╙),B╧иаВм╗йпж╣(т╙),вэйпж╣(т╙),A╧иаВм╗╧и╠╬(╧и),B╧иаВм╗╧и╠╬(╧и),вэ╧и╠╬(╧и),йпс╞бй,йп╬╩бй,йпоЗбй,йпожбй,
002239.SZ,╟бль╪я,2008-05-22,N/A,4.7093,4.9735,4.3518,4.5383,21258396,317213333.3,N/A,N/A,14.9218,78.1559,397120000,N/A,1956400000,27200000,0,134000000,31.9847,11.7909,2.732,-200.8822,
002239.SZ,╟бль╪я,2008-05-23,4.5383,4.3518,4.3518,4.0845,4.0876,8983026,120331080.8,-0.4507,-9.9315,13.3954,33.0258,357680000,N/A,1762100000,27200000,0,134000000,28.8081,10.6199,2.4607,-180.9316,
002239.SZ,╟бль╪я,2008-05-26,4.0876,3.9415,3.9819,3.7581,3.7923,4632398,57222851.7,-0.2953,-7.2243,12.3527,17.0309,331840000,N/A,1634800000,27200000,0,134000000,26.727,9.8527,2.2829,-167.8605,
002239.SZ,╟бль╪я,2008-05-27,3.7923,3.8389,3.8824,3.7084,3.8109,2545410,31013726.1,0.0187,0.4918,12.1842,9.3581,333472000,N/A,1642840000,27200000,0,134000000,26.8584,9.9012,2.2941,-168.686,
002239.SZ,╟бль╪я,2008-05-28,3.8109,3.7767,3.8762,3.7239,3.8234,2869610,34942343.3,0.0124,0.3263,12.1767,10.55,334560000,N/A,1648200000,27200000,0,134000000,26.946,9.9335,2.3016,-169.2364,
002239.SZ,╟бль╪я,2008-05-29,3.8234,3.7892,3.8762,3.7239,3.7301,2726779,33170711.2,-0.0933,-2.439,12.1648,10.0249,326400000,N/A,1608000000,27200000,0,134000000,26.2888,9.6912,2.2455,-165.1086,
002239.SZ,╟бль╪я,2008-05-30,3.7301,3.7332,3.783,3.6275,3.671,2769270,32771871.6,-0.0591,-1.5833,11.8341,10.1811,321232000,N/A,1582540000,27200000,0,134000000,25.8726,9.5377,2.2099,-162.4944,
002239.SZ,╟бль╪я,2008-06-02,3.671,3.6679,3.7767,3.6431,3.7457,1939193,23218449.1,0.0746,2.0322,11.9733,7.1294,327760000,N/A,1614700000,27200000,0,134000000,26.3983,9.7316,2.2548,-165.7966,
002239.SZ,╟бль╪я,2008-06-03,3.7457,3.7457,3.7519,3.6648,3.6835,1349504,16045179.7,-0.0622,-1.6598,11.8897,4.9614,322320000,N/A,1587900000,27200000,0,134000000,25.9602,9.57,2.2174,-163.0448,
002239.SZ,╟бль╪я,2008-06-04,3.6835,3.6679,3.6835,3.5436,3.5809,1489264,17255094.7,-0.1026,-2.7848,11.5863,5.4752,313344000,N/A,1543680000,27200000,0,134000000,25.2373,9.3035,2.1557,-158.5043,
002239.SZ,╟бль╪я,2008-06-05,3.5809,3.5529,3.6524,3.5529,3.5964,1388890,16116069.4,0.0155,0.434,11.6036,5.1062,314704000,N/A,1550380000,27200000,0,134000000,25.3468,9.3439,2.165,-159.1923,
002239.SZ,╟бль╪я,2008-06-06,3.5964,3.6151,3.7115,3.6151,3.6586,1872422,22123000.5,0.0622,1.7286,11.8152,6.8839,320144000,N/A,1577180000,27200000,0,134000000,25.7849,9.5054,2.2024,-161.9441,
002239.SZ,╟бль╪я,2008-06-10,3.6586,3.5063,3.5809,3.2918,3.3229,2329304,25478078.8,-0.3357,-9.1759,10.9381,8.5636,290768000,N/A,1432460000,27200000,0,134000000,23.4189,8.6332,2.0003,-147.0843,
002239.SZ,╟бль╪я,2008-06-11,3.3229,3.3229,3.3353,3.1426,3.2359,1190048,12399534.3,-0.087,-2.6193,10.4194,4.3752,283152000,N/A,1394940000,27200000,0,134000000,22.8055,8.4071,1.9479,-143.2318,
002239.SZ,╟бль╪я,2008-06-12,3.2359,3.1737,3.2545,3.1457,3.211,1542620,15839839.9,-0.0249,-0.7685,10.2681,5.6714,280976000,N/A,1384220000,27200000,0,134000000,22.6303,8.3425,1.933,-142.131,
002239.SZ,╟бль╪я,2008-06-13,3.211,3.2172,3.2545,3.0773,3.0773,1346135,13624477.1,-0.1337,-4.1626,10.1212,4.949,269280000,N/A,1326600000,27200000,0,134000000,21.6883,7.9952,1.8525,-136.2146,
002239.SZ,╟бль╪я,2008-06-16,3.0773,3.0494,3.1115,3.0058,3.0773,1205716,11871860.4,0,0,9.8463,4.4328,269280000,N/A,1326600000,27200000,0,134000000,21.6883,7.9952,1.8525,-136.2146,
002239.SZ,╟бль╪я,2008-06-17,3.0773,3.0867,3.2328,3.0214,3.0929,1779854,17903467.2,0.0155,0.5051,10.059,6.5436,270640000,N/A,1333300000,27200000,0,134000000,21.7978,8.0356,1.8619,-136.9026,
002239.SZ,╟бль╪я,2008-06-18,3.0929,3.0898,3.239,2.9841,3.2079,2037265,20691740.9,0.115,3.7186,10.1566,7.4899,280704000,N/A,1382880000,27200000,0,134000000,22.6084,8.3344,1.9311,-141.9934,
002239.SZ,╟бль╪я,2008-06-19,3.2079,3.1551,3.1706,2.8877,2.8877,2033441,19749591.6,-0.3202,-9.9806,9.7124,7.4759,252688000,N/A,1244860000,27200000,0,134000000,20.3519,7.5026,1.7384,-127.8216,
002239.SZ,╟бль╪я,2008-06-20,2.8877,2.9064,3.0214,2.7447,2.8877,2004481,18722231.8,0,0,9.3402,7.3694,252688000,N/A,1244860000,27200000,0,134000000,20.3519,7.5026,1.7384,-127.8216,
002239.SZ,╟бль╪я,2008-06-23,2.8877,2.8256,2.8504,2.7603,2.7665,843375,7626680.4,-0.1212,-4.1981,9.043,3.1006,242080000,N/A,1192600000,27200000,0,134000000,19.4975,7.1876,1.6654,-122.4556,
002239.SZ,╟бль╪я,2008-06-24,2.7665,2.7789,2.8629,2.7634,2.8473,814454,7387901.2,0.0808,2.9213,9.071,2.9943,249152000,N/A,1227440000,27200000,0,134000000,20.0671,7.3976,1.714,-126.0329,
002239.SZ,╟бль╪я,2008-06-25,2.8473,2.8473,3.0058,2.8318,2.981,1955472,18484745.8,0.1337,4.6943,9.4528,7.1892,260848000,N/A,1285060000,27200000,0,134000000,21.0091,7.7449,1.7945,-131.9493,
002239.SZ,╟бль╪я,2008-06-26,2.981,2.9623,3.0369,2.9312,3.0058,1710533,16417253.5,0.0249,0.8342,9.5977,6.2887,263024000,N/A,1295780000,27200000,0,134000000,21.1844,7.8095,1.8095,-133.05,
002239.SZ,╟бль╪я,2008-06-27,3.0058,2.8815,2.9126,2.723,2.7634,1277735,11647800.6,-0.2425,-8.0662,9.116,4.6976,241808000,N/A,1191260000,27200000,0,134000000,19.4756,7.1796,1.6635,-122.318,
002239.SZ,╟бль╪я,2008-06-30,2.7634,2.7603,2.8162,2.7074,2.7914,701200,6229867.4,0.028,1.0124,8.8846,2.5779,244256000,N/A,1203320000,27200000,0,134000000,19.6728,7.2522,1.6804,-123.5563,
002239.SZ,╟бль╪я,2008-07-01,2.7914,2.7945,2.8535,2.7541,2.7851,735749,6632650.4,-0.0062,-0.2227,9.0148,2.705,243712000,N/A,1200640000,27200000,0,134000000,19.629,7.2361,1.6766,-123.2811,
002239.SZ,╟бль╪я,2008-07-02,2.7851,2.7851,2.8598,2.7665,2.8318,590293,5360885.9,0.0466,1.6741,9.0817,2.1702,247792000,N/A,1220740000,27200000,0,134000000,19.9576,7.3572,1.7047,-125.345,
002239.SZ,╟бль╪я,2008-07-03,2.8318,2.7976,2.9468,2.7696,2.9126,1521392,14120348.5,0.0808,2.854,9.2812,5.5934,254864000,N/A,1255580000,27200000,0,134000000,20.5272,7.5672,1.7533,-128.9223,
002239.SZ,╟бль╪я,2008-07-04,2.9126,2.8908,2.9375,2.8287,2.8598,1111891,10320746.1,-0.0528,-1.8143,9.2822,4.0878,250240000,N/A,1232800000,27200000,0,134000000,20.1548,7.4299,1.7215,-126.5833,
002239.SZ,╟бль╪я,2008-07-07,2.8598,2.8504,2.9934,2.8318,2.9779,1358960,12861496,0.1181,4.1304,9.4642,4.9962,260576000,N/A,1283720000,27200000,0,134000000,20.9872,7.7368,1.7926,-131.8117,
002239.SZ,╟бль╪я,2008-07-08,2.9779,2.9779,3.0027,2.9157,2.9903,1297579,12389633.5,0.0124,0.4175,9.5483,4.7705,261664000,N/A,1289080000,27200000,0,134000000,21.0749,7.7691,1.8001,-132.3621,
002239.SZ,╟бль╪я,2008-07-09,2.9903,2.9903,3.1395,2.9903,3.1084,2268552,22299542,0.1181,3.9501,9.8299,8.3403,272000000,N/A,1340000000,27200000,0,134000000,21.9073,8.076,1.8712,-137.5905,
002239.SZ,╟бль╪я,2008-07-10,3.1084,3.0587,3.1488,3.0307,3.0369,1720499,17105418.2,-0.0715,-2.3,9.9421,6.3254,265744000,N/A,1309180000,27200000,0,134000000,21.4035,7.8902,1.8282,-134.426,
002239.SZ,╟бль╪я,2008-07-11,3.0369,3.0245,3.0618,2.9375,2.9748,888619,8524373.6,-0.0622,-2.0471,9.5928,3.267,260304000,N/A,1282380000,27200000,0,134000000,20.9653,7.7287,1.7908,-131.6741,
002239.SZ,╟бль╪я,2008-07-14,2.9748,2.9903,3.068,2.9685,3.0649,1064493,10381815.7,0.0901,3.0303,9.7528,3.9136,268192000,N/A,1321240000,27200000,0,134000000,21.6006,7.9629,1.845,-135.6643,
002239.SZ,╟бль╪я,2008-07-15,3.0649,3.1084,3.2172,3.0711,3.0929,2743234,27665402.7,0.028,0.9128,10.085,10.0854,270640000,N/A,1333300000,27200000,0,134000000,21.7978,8.0356,1.8619,-136.9026,
002239.SZ,╟бль╪я,2008-07-16,3.0929,3.1053,3.1892,2.8846,3.0214,2243049,22303043.7,-0.0715,-2.3116,9.9432,8.2465,264384000,N/A,1302480000,27200000,0,134000000,21.2939,7.8499,1.8188,-133.738,
002239.SZ,╟бль╪я,2008-07-17,3.0214,3.0991,3.2576,3.0463,3.2172,3755183,38203227.5,0.1958,6.4815,10.1735,13.8058,281520000,N/A,1386900000,27200000,0,134000000,22.6741,8.3586,1.9367,-142.4062,
002239.SZ,╟бль╪я,2008-07-18,3.2172,3.211,3.2638,3.0773,3.1799,2568675,26232431.8,-0.0373,-1.1594,10.2124,9.4437,278256000,N/A,1370820000,27200000,0,134000000,22.4112,8.2617,1.9143,-140.7551,
002239.SZ,╟бль╪я,2008-07-21,3.1799,3.1519,3.2825,3.1426,3.2763,2016395,20964249.2,0.0964,3.0303,10.3969,7.4132,286688000,N/A,1412360000,27200000,0,134000000,23.0903,8.5121,1.9723,-145.0204,
002239.SZ,╟бль╪я,2008-07-22,3.2763,3.2576,3.2856,3.1861,3.2203,1590123,16515263,-0.056,-1.7078,10.3862,5.846,281792000,N/A,1388240000,27200000,0,134000000,22.696,8.3667,1.9386,-142.5438,
