ДњТы,МђГЦ,ШеЦк,ЧАЪеХЬМл(дЊ),ПЊХЬМл(дЊ),зюИпМл(дЊ),зюЕЭМл(дЊ),ЪеХЬМл(дЊ),ГЩНЛСП(ЙЩ),ГЩНЛН№Жю(дЊ),еЧЕј(дЊ),еЧЕјЗљ(%),ОљМл(дЊ),ЛЛЪжТЪ(%),AЙЩСїЭЈЪажЕ(дЊ),BЙЩСїЭЈЪажЕ(дЊ),змЪажЕ(дЊ),AЙЩСїЭЈЙЩБО(ЙЩ),BЙЩСїЭЈЙЩБО(ЙЩ),змЙЩБО(ЙЩ),ЪагЏТЪ,ЪаОЛТЪ,ЪаЯњТЪ,ЪаЯжТЪ,
002287.SZ,Цце§ВивЉ,2009-08-28,N/A,20.1512,24.1357,19.6932,22.1755,28339633,664229940.2,N/A,N/A,23.4382,86.4013,794088000,N/A,9829260000,32800000,0,406000000,72.3829,18.508,23.772,244.915,
002287.SZ,Цце§ВивЉ,2009-08-31,22.1755,20.9298,21.342,19.9589,19.9589,2869368,64015199.7,-2.2166,-9.9959,22.3099,8.7481,714712000,N/A,8846740000,32800000,0,406000000,65.1476,16.658,21.3958,220.4336,
002287.SZ,Цце§ВивЉ,2009-09-01,19.9589,17.9621,19.1437,17.9621,18.0445,17146237,340773932.7,-1.9144,-9.5916,19.8746,52.2751,646160000,N/A,7998200000,32800000,0,406000000,58.899,15.0602,19.3436,199.2906,
002287.SZ,Цце§ВивЉ,2009-09-02,18.0445,17.2934,18.5025,16.9362,17.7514,9752449,189019715.7,-0.2931,-1.6244,19.3818,29.7331,635664000,N/A,7868280000,32800000,0,406000000,57.9422,14.8156,19.0294,196.0534,
002287.SZ,Цце§ВивЉ,2009-09-03,17.7514,17.211,18.4842,17.0186,18.2277,8919727,173684447.7,0.4763,2.6832,19.4719,27.1943,652720000,N/A,8079400000,32800000,0,406000000,59.4969,15.2131,19.54,201.3139,
002287.SZ,Цце§ВивЉ,2009-09-04,18.2277,17.9438,18.8139,17.6781,18.2827,8643249,172166545.9,0.055,0.3015,19.9192,26.3514,654688000,N/A,8103760000,32800000,0,406000000,59.6763,15.259,19.5989,201.9209,
002287.SZ,Цце§ВивЉ,2009-09-07,18.2827,18.3743,20.0596,18.3193,19.4643,12067157,256015966.9,1.1816,6.4629,21.2159,36.7901,697000000,N/A,8627500000,32800000,0,406000000,63.5331,16.2451,20.8656,214.9709,
002287.SZ,Цце§ВивЉ,2009-09-08,19.4643,19.1253,19.8306,18.9238,19.3727,6534180,138659884.1,-0.0916,-0.4706,21.2207,19.9213,693720000,N/A,8586900000,32800000,0,406000000,63.2342,16.1687,20.7674,213.9592,
002287.SZ,Цце§ВивЉ,2009-09-09,19.3727,19.4093,21.3145,18.7773,21.3145,10525907,230823876.9,1.9418,10.0236,21.9291,32.0912,763256000,N/A,9447620000,32800000,0,406000000,69.5725,17.7894,22.849,235.4057,
002287.SZ,Цце§ВивЉ,2009-09-10,21.3145,20.9848,23.4487,20.6092,23.0365,15881158,391788242.7,1.722,8.0791,24.67,48.4182,824920000,N/A,10210900000,32800000,0,406000000,75.1933,19.2266,24.695,254.4243,
