旗鷹,酒各,晩豚,念辺徒勺(圷),蝕徒勺(圷),恷互勺(圷),恷詰勺(圷),辺徒勺(圷),撹住楚(紘),撹住署駆(圷),嫻鋸(圷),嫻鋸嫌(%),譲勺(圷),算返楕(%),A紘送宥偏峙(圷),B紘送宥偏峙(圷),悳偏峙(圷),A紘送宥紘云(紘),B紘送宥紘云(紘),悳紘云(紘),偏哢楕,偏昌楕,偏��楕,偏�崑�,
002397.SZ,知準社慶,2010-04-29,N/A,5.1911,5.304,5.0783,5.2232,8647735,520005235.4,N/A,N/A,60.132,67.5604,770176000,N/A,3790710000,12800000,0,63000000,42.7801,18.0543,6.008,732.6512,
002397.SZ,知準社慶,2010-04-30,5.2232,4.948,4.948,4.7006,4.7006,2790525,152164822.5,-0.5226,-10.005,54.5291,21.801,693120000,N/A,3411450000,12800000,0,63000000,38.5,16.2479,5.4069,659.3495,
002397.SZ,知準社慶,2010-05-04,4.7006,4.3404,4.5123,4.2579,4.4394,2364262,120009430.5,-0.2613,-5.5586,50.7598,18.4708,654592000,N/A,3221820000,12800000,0,63000000,36.3599,15.3448,5.1064,622.6987,
002397.SZ,知準社慶,2010-05-05,4.4394,4.3847,4.6963,4.3499,4.6164,2073324,109010633.1,0.1771,3.989,52.5777,16.1978,680704000,N/A,3350340000,12800000,0,63000000,37.8103,15.9569,5.3101,647.5385,
002397.SZ,知準社慶,2010-05-06,4.6164,4.5565,4.6755,4.4012,4.4229,1668300,87481391.5,-0.1936,-4.1933,52.4374,13.0336,652160000,N/A,3209850000,12800000,0,63000000,36.2248,15.2878,5.0874,620.3852,
002397.SZ,知準社慶,2010-05-07,4.4229,4.3013,4.3838,4.2102,4.2102,1587109,78708532.9,-0.2127,-4.8086,49.5924,12.3993,620800000,N/A,3055500000,12800000,0,63000000,34.4829,14.5526,4.8428,590.5531,
002397.SZ,知準社慶,2010-05-10,4.2102,4.2362,4.2822,3.8673,3.9515,1371838,63378434.6,-0.2587,-6.1443,46.1996,10.7175,582656000,N/A,2867760000,12800000,0,63000000,32.3642,13.6585,4.5452,554.2676,
002397.SZ,知準社慶,2010-05-11,3.9515,4.0435,4.0748,3.7414,3.7501,1275872,57001817.4,-0.2014,-5.0967,44.6768,9.9678,552960000,N/A,2721600000,12800000,0,63000000,30.7147,12.9623,4.3136,526.0184,
002397.SZ,知準社慶,2010-05-12,3.7501,3.7223,3.8057,3.6459,3.7449,846515,36321055.2,-0.0052,-0.1389,42.9066,6.6134,552192000,N/A,2717820000,12800000,0,63000000,30.672,12.9443,4.3076,525.2879,
002397.SZ,知準社慶,2010-05-13,3.7449,3.7458,3.8682,3.6893,3.8629,1148078,50235633.6,0.1181,3.1525,43.7563,8.9694,569600000,N/A,2803500000,12800000,0,63000000,31.6389,13.3524,4.4434,541.8477,
002397.SZ,知準社慶,2010-05-14,3.8629,3.8395,3.9168,3.8091,3.8942,813351,36181363,0.0313,0.809,44.4843,6.3543,574208000,N/A,2826180000,12800000,0,63000000,31.8949,13.4604,4.4793,546.2312,
002397.SZ,知準社慶,2010-05-17,3.8942,3.8195,3.8933,3.6633,3.6633,684208,29951920.4,-0.2309,-5.9296,43.776,5.3454,540160000,N/A,2658600000,12800000,0,63000000,30.0037,12.6623,4.2137,513.8421,
002397.SZ,知準社慶,2010-05-18,3.6633,3.6372,3.7588,3.6043,3.718,818190,34613458.2,0.0547,1.4929,42.3049,6.3921,548224000,N/A,2698290000,12800000,0,63000000,30.4516,12.8513,4.2766,521.5132,
002397.SZ,知準社慶,2010-05-19,3.718,3.711,3.9923,3.6893,3.9263,1472180,65981069.7,0.2083,5.6035,44.8186,11.5014,578944000,N/A,2849490000,12800000,0,63000000,32.158,13.5714,4.5163,550.7365,
002397.SZ,知準社慶,2010-05-20,3.9263,3.8716,3.9758,3.8577,3.915,1013696,45843188.8,-0.0113,-0.2874,45.2238,7.9195,577280000,N/A,2841300000,12800000,0,63000000,32.0655,13.5324,4.5033,549.1535,
002397.SZ,知準社慶,2010-05-21,3.915,3.8195,4.0713,3.777,4.0539,1063763,48593337.1,0.1389,3.5477,45.6806,8.3106,597760000,N/A,2942100000,12800000,0,63000000,33.2031,14.0125,4.663,568.6357,
002397.SZ,知準社慶,2010-05-24,4.0539,4.0305,4.2189,4.0305,4.1911,1165951,55670161.1,0.1372,3.3833,47.7466,9.109,617984000,N/A,3041640000,12800000,0,63000000,34.3265,14.4866,4.8208,587.8743,
002397.SZ,知準社慶,2010-05-25,4.1911,4.1668,4.2137,4.0522,4.0973,843536,40044042.1,-0.0938,-2.237,47.4716,6.5901,604160000,N/A,2973600000,12800000,0,63000000,33.5586,14.1626,4.713,574.7239,
002397.SZ,知準社慶,2010-05-26,4.0973,4.08,4.165,3.9932,4.0105,584705,27186066.2,-0.0868,-2.1186,46.4954,4.568,591360000,N/A,2910600000,12800000,0,63000000,32.8476,13.8625,4.6131,562.5475,
002397.SZ,知準社慶,2010-05-27,4.0105,3.9923,4.1216,3.9749,4.0895,510762,23844237.7,0.079,1.9697,46.6837,3.9903,603008000,N/A,2967930000,12800000,0,63000000,33.4946,14.1355,4.704,573.628,
002397.SZ,知準社慶,2010-05-28,4.0895,4.1373,4.1885,4.086,4.1546,779502,37176673.4,0.0651,1.592,47.6929,6.0899,612608000,N/A,3015180000,12800000,0,63000000,34.0279,14.3606,4.7789,582.7603,
002397.SZ,知準社慶,2010-05-31,4.1546,4.1347,4.1407,3.9932,3.9932,459922,21560647.8,-0.1615,-3.8863,46.8789,3.5931,588800000,N/A,2898000000,12800000,0,63000000,32.7054,13.8025,4.5931,560.1122,
002397.SZ,知準社慶,2010-06-01,3.9932,3.9081,3.9758,3.757,3.8725,602162,26851739.5,-0.1207,-3.0217,44.5922,4.7044,571008000,N/A,2810430000,12800000,0,63000000,31.7172,13.3854,4.4544,543.1871,
002397.SZ,知準社慶,2010-06-02,3.8725,3.7848,3.9498,3.7848,3.9498,437014,19520439.1,0.0773,1.9951,44.6678,3.4142,582400000,N/A,2866500000,12800000,0,63000000,32.3499,13.6525,4.5432,554.024,
002397.SZ,知準社慶,2010-06-03,3.9498,3.9584,4.0565,3.9498,3.9932,651351,30112358.5,0.0434,1.0989,46.2306,5.0887,588800000,N/A,2898000000,12800000,0,63000000,32.7054,13.8025,4.5931,560.1122,
002397.SZ,知準社慶,2010-06-04,3.9932,3.9758,4.0973,3.9758,4.0626,472449,22061076.2,0.0694,1.7391,46.6951,3.691,599040000,N/A,2948400000,12800000,0,63000000,33.2742,14.0425,4.673,569.8533,
002397.SZ,知準社慶,2010-06-07,4.0626,3.9932,4.2979,3.9758,4.2536,1442140,69383297.5,0.191,4.7009,48.1113,11.2667,627200000,N/A,3087000000,12800000,0,63000000,34.8384,14.7027,4.8927,596.6413,
