¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
002511.SZ,÷–À≥Ω‡»·,2010-11-25,N/A,16.743,17.7057,15.3907,15.8479,23897777,1185132466.7,N/A,N/A,49.5917,74.6806,1575040000,N/A,7875200000,32000000,0,160000000,71.3066,18.1881,4.8652,73.8792,
002511.SZ,÷–À≥Ω‡»·,2010-11-26,15.8479,16.2279,17.065,15.9413,16.6657,16146562,823782720.3,0.8178,5.1605,51.0191,50.458,1656320000,N/A,8281600000,32000000,0,160000000,74.9863,19.1267,5.1162,77.6917,
002511.SZ,÷–À≥Ω‡»·,2010-11-29,16.6657,16.3824,16.508,15.7706,15.8383,8621207,428777289.5,-0.8275,-4.9652,49.7352,26.9413,1574080000,N/A,7870400000,32000000,0,160000000,71.2631,18.177,4.8622,73.8342,
002511.SZ,÷–À≥Ω‡»·,2010-11-30,15.8383,15.7771,16.2601,15.4809,16.2311,8158115,403591643.8,0.3928,2.4802,49.4712,25.4941,1613120000,N/A,8065600000,32000000,0,160000000,73.0306,18.6278,4.9828,75.6654,
002511.SZ,÷–À≥Ω‡»·,2010-12-01,16.2311,16.2729,16.743,15.7835,15.893,7216868,364195581.8,-0.3381,-2.0829,50.4645,22.5527,1579520000,N/A,7897600000,32000000,0,160000000,71.5094,18.2398,4.879,74.0894,
002511.SZ,÷–À≥Ω‡»·,2010-12-02,15.893,15.9735,16.0347,15.1331,15.2297,7503035,361397619.6,-0.6633,-4.1734,48.1669,23.447,1513600000,N/A,7568000000,32000000,0,160000000,68.525,17.4786,4.6754,70.9973,
002511.SZ,÷–À≥Ω‡»·,2010-12-03,15.2297,15.0365,15.1299,14.2509,14.8079,5927622,269258913,-0.4218,-2.7696,45.4244,18.5238,1471680000,N/A,7358400000,32000000,0,160000000,66.6272,16.9945,4.5459,69.031,
002511.SZ,÷–À≥Ω‡»·,2010-12-06,14.8079,14.6018,14.9013,14.3282,14.4312,2520541,114279684.5,-0.3767,-2.544,45.3393,7.8767,1434240000,N/A,7171200000,32000000,0,160000000,64.9322,16.5622,4.4302,67.2748,
002511.SZ,÷–À≥Ω‡»·,2010-12-07,14.4312,14.3249,14.4988,14.0384,14.4344,2555226,113352844.9,0.0032,0.0223,44.3612,7.9851,1434560000,N/A,7172800000,32000000,0,160000000,64.9466,16.5658,4.4312,67.2898,
002511.SZ,÷–À≥Ω‡»·,2010-12-08,14.4344,14.3797,14.6051,14.106,14.3893,2193047,97700462.9,-0.0451,-0.3123,44.5501,6.8533,1430080000,N/A,7150400000,32000000,0,160000000,64.7438,16.5141,4.4174,67.0797,
