ด๚ย๋,ผ๒ณฦ,ศีฦฺ,วฐสีลฬผÛ(ิช),ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),ณษฝปฝ๐ถ๎(ิช),ีวต๘(ิช),ีวต๘ท๙(%),พ๙ผÛ(ิช),ปปสึยส(%),Aนษม๗อจสะึต(ิช),Bนษม๗อจสะึต(ิช),ืÜสะึต(ิช),Aนษม๗อจนษฑพ(นษ),Bนษม๗อจนษฑพ(นษ),ืÜนษฑพ(นษ),สะำฏยส,สะพปยส,สะฯ๚ยส,สะฯึยส,
002615.SZ,นþถ๛หน,2011-09-09,N/A,7.0211,8.1352,6.7309,7.3644,15448936,359702559.8,N/A,N/A,23.2833,84.6981,430464000,N/A,2152320000,18240000,0,91200000,50.8557,15.2718,5.0975,91.6874,
002615.SZ,นþถ๛หน,2011-09-13,7.3644,7.0211,7.0679,6.628,6.628,7769527,166711255.8,-0.7364,-10,21.4571,42.5961,387417600,N/A,1937088000,18240000,0,91200000,45.7701,13.7446,4.5878,82.5187,
002615.SZ,นþถ๛หน,2011-09-14,6.628,6.4875,6.9213,6.4376,6.8277,7169838,153736553,0.1997,3.0132,21.4421,39.3083,399091200,N/A,1995456000,18240000,0,91200000,47.1493,14.1588,4.726,85.0051,
002615.SZ,นþถ๛หน,2011-09-15,6.8277,6.7247,7.0804,6.6186,6.734,7336818,161515229.1,-0.0936,-1.3711,22.0143,40.2238,393619200,N/A,1968096000,18240000,0,91200000,46.5028,13.9646,4.6612,83.8396,
002615.SZ,นþถ๛หน,2011-09-16,6.734,6.6311,6.706,6.2722,6.3346,6613414,137507358,-0.3994,-5.9314,20.7922,36.2578,370272000,N/A,1851360000,18240000,0,91200000,43.7445,13.1363,4.3847,78.8667,
002615.SZ,นþถ๛หน,2011-09-19,6.3346,6.2348,6.2379,5.8541,5.8697,3902661,75242076.6,-0.465,-7.3399,19.2797,21.3962,343094400,N/A,1715472000,18240000,0,91200000,40.5337,12.1721,4.0629,73.078,
002615.SZ,นþถ๛หน,2011-09-20,5.8697,5.7292,5.9446,5.7292,5.8322,2858904,53528369.6,-0.0374,-0.638,18.7234,15.6738,340905600,N/A,1704528000,18240000,0,91200000,40.2751,12.0945,4.037,72.6118,
002615.SZ,นþถ๛หน,2011-09-21,5.8322,5.8509,6.1037,5.7729,6.085,3907063,75065579.9,0.2528,4.3339,19.2128,21.4203,355680000,N/A,1778400000,18240000,0,91200000,42.0206,12.6187,4.2119,75.7587,
002615.SZ,นþถ๛หน,2011-09-22,6.085,5.9945,6.007,5.6512,5.6512,3870689,72650695.9,-0.4338,-7.1282,18.7694,21.2209,330326400,N/A,1651632000,18240000,0,91200000,39.0253,11.7192,3.9117,70.3584,
002615.SZ,นþถ๛หน,2011-09-23,5.6512,5.464,5.6107,5.4297,5.5639,2348213,41526677.8,-0.0874,-1.5461,17.6844,12.874,325219200,N/A,1626096000,18240000,0,91200000,38.4219,11.538,3.8512,69.2706,
002615.SZ,นþถ๛หน,2011-09-26,5.5639,5.5763,5.8634,5.5545,5.6856,3486682,64228072.6,0.1217,2.1873,18.421,19.1156,332332800,N/A,1661664000,18240000,0,91200000,39.2623,11.7904,3.9355,70.7858,
002615.SZ,นþถ๛หน,2011-09-27,5.6856,5.7417,5.8416,5.5545,5.7199,1988118,36142901.9,0.0343,0.6037,18.1795,10.8998,334339200,N/A,1671696000,18240000,0,91200000,39.4994,11.8615,3.9592,71.2132,
002615.SZ,นþถ๛หน,2011-09-28,5.7199,5.7667,5.7729,5.4609,5.4734,1853575,33253743.8,-0.2465,-4.3099,17.9403,10.1621,319929600,N/A,1599648000,18240000,0,91200000,37.797,11.3503,3.7886,68.144,
002615.SZ,นþถ๛หน,2011-09-29,5.4734,5.4016,5.411,5.1426,5.1769,1866601,31564704.7,-0.2964,-5.4162,16.9103,10.2336,302601600,N/A,1513008000,18240000,0,91200000,35.7498,10.7356,3.5834,64.4531,
002615.SZ,นþถ๛หน,2011-09-30,5.1769,5.2268,5.2268,4.999,5.049,1147630,18732199.9,-0.1279,-2.4714,16.3225,6.2918,295123200,N/A,1475616000,18240000,0,91200000,34.8663,10.4702,3.4948,62.8603,
002615.SZ,นþถ๛หน,2011-10-10,5.049,5.0989,5.18,5.0271,5.0864,1126366,18428913,0.0374,0.7417,16.3614,6.1753,297312000,N/A,1486560000,18240000,0,91200000,35.1249,10.5479,3.5207,63.3265,
002615.SZ,นþถ๛หน,2011-10-11,5.0864,5.2456,5.2924,5.0646,5.1488,1850516,30888969.2,0.0624,1.227,16.6921,10.1454,300960000,N/A,1504800000,18240000,0,91200000,35.5559,10.6773,3.5639,64.1035,
002615.SZ,นþถ๛หน,2011-10-12,5.1488,5.1083,5.3954,4.9335,5.3735,2745359,46290277.2,0.2247,4.3636,16.8613,15.0513,314092800,N/A,1570464000,18240000,0,91200000,37.1074,11.1432,3.7195,66.9007,
002615.SZ,นþถ๛หน,2011-10-13,5.3735,5.3454,5.6107,5.2737,5.5763,3190286,55677633,0.2028,3.7747,17.4522,17.4906,325948800,N/A,1629744000,18240000,0,91200000,38.5081,11.5639,3.8599,69.426,
002615.SZ,นþถ๛หน,2011-10-14,5.5763,5.4921,5.5763,5.4297,5.542,2064580,36503570.4,-0.0343,-0.6156,17.6809,11.319,323942400,N/A,1619712000,18240000,0,91200000,38.2711,11.4927,3.8361,68.9987,
002615.SZ,นþถ๛หน,2011-10-17,5.542,5.5451,5.9602,5.542,5.8073,4352830,80330308.3,0.2652,4.786,18.4547,23.8642,339446400,N/A,1697232000,18240000,0,91200000,40.1027,12.0427,4.0197,72.301,
002615.SZ,นþถ๛หน,2011-10-18,5.8073,5.7417,5.8353,5.464,5.464,3007893,55053466,-0.3433,-5.9108,18.303,16.4906,319382400,N/A,1596912000,18240000,0,91200000,37.7323,11.3309,3.7821,68.0274,
002615.SZ,นþถ๛หน,2011-10-19,5.464,5.4921,5.6731,5.4328,5.5545,2014735,35753475.2,0.0905,1.6562,17.746,11.0457,324672000,N/A,1623360000,18240000,0,91200000,38.3573,11.5186,3.8447,69.1541,
002615.SZ,นþถ๛หน,2011-10-20,5.5545,5.4796,5.5327,5.205,5.2549,1872930,31931161.8,-0.2996,-5.3933,17.0488,10.2683,307161600,N/A,1535808000,18240000,0,91200000,36.2885,10.8973,3.6374,65.4244,
002615.SZ,นþถ๛หน,2011-10-21,5.2549,5.2861,5.2893,5.0739,5.18,1036490,17270853.5,-0.0749,-1.4252,16.6628,5.6825,302784000,N/A,1513920000,18240000,0,91200000,35.7714,10.742,3.5855,64.492,
002615.SZ,นþถ๛หน,2011-10-24,5.18,5.1832,5.3049,4.8867,5.2737,1767946,28912569.1,0.0936,1.8072,16.3538,9.6927,308256000,N/A,1541280000,18240000,0,91200000,36.4178,10.9362,3.6503,65.6575,
002615.SZ,นþถ๛หน,2011-10-25,5.2737,5.205,5.801,5.1863,5.801,4450541,79810653.1,0.5274,10,17.9328,24.3999,339081600,N/A,1695408000,18240000,0,91200000,40.0596,12.0298,4.0154,72.2233,
002615.SZ,นþถ๛หน,2011-10-26,5.801,5.7261,5.9134,5.6731,5.7636,4706836,87405573.5,-0.0374,-0.6455,18.5699,25.805,336892800,N/A,1684464000,18240000,0,91200000,39.801,11.9521,3.9895,71.7571,
002615.SZ,นþถ๛หน,2011-10-27,5.7636,5.7043,6.1006,5.6918,6.06,6181465,118460016,0.2964,5.1435,19.1637,33.8896,354220800,N/A,1771104000,18240000,0,91200000,41.8482,12.5669,4.1946,75.4479,
002615.SZ,นþถ๛หน,2011-10-28,6.06,6.1349,6.397,5.9383,6.3128,5409255,106477383.1,0.2528,4.171,19.6843,29.656,368995200,N/A,1844976000,18240000,0,91200000,43.5937,13.091,4.3696,78.5948,
002615.SZ,นþถ๛หน,2011-10-31,6.3128,6.1942,6.6311,6.1661,6.3065,5135191,105020376.1,-0.0062,-0.0989,20.4511,28.1535,368630400,N/A,1843152000,18240000,0,91200000,43.5506,13.0781,4.3653,78.5171,
002615.SZ,นþถ๛หน,2011-11-01,6.3065,6.1786,6.4126,6.06,6.4126,4265403,85044479.6,0.1061,1.6823,19.9382,23.3849,374832000,N/A,1874160000,18240000,0,91200000,44.2832,13.2981,4.4387,79.838,
002615.SZ,นþถ๛หน,2011-11-02,6.4126,6.2036,6.9494,6.1099,6.7996,6741045,142987647.2,0.3869,6.0341,21.2115,36.9575,397449600,N/A,1987248000,18240000,0,91200000,46.9553,14.1005,4.7066,84.6555,
002615.SZ,นþถ๛หน,2011-11-03,6.7996,6.7372,7.0617,6.5874,6.8214,5333851,116272599.1,0.0218,0.3212,21.799,29.2426,398726400,N/A,1993632000,18240000,0,91200000,47.1062,14.1458,4.7217,84.9274,
002615.SZ,นþถ๛หน,2011-11-04,6.8214,6.759,6.9525,6.7122,6.8714,3296764,72094202.1,0.0499,0.7319,21.8682,18.0744,401644800,N/A,2008224000,18240000,0,91200000,47.4509,14.2494,4.7562,85.549,
002615.SZ,นþถ๛หน,2011-11-07,6.8714,6.8714,7.1428,6.7746,6.9306,3555510,79494277.2,0.0593,0.8629,22.3581,19.4929,405110400,N/A,2025552000,18240000,0,91200000,47.8604,14.3723,4.7973,86.2872,
002615.SZ,นþถ๛หน,2011-11-08,6.9306,6.8682,6.915,6.4969,6.578,3411531,72762605.5,-0.3526,-5.0878,21.3284,18.7036,384499200,N/A,1922496000,18240000,0,91200000,45.4253,13.6411,4.5532,81.8971,
002615.SZ,นþถ๛หน,2011-11-09,6.578,6.5999,6.6373,6.241,6.5874,4341729,89614127.2,0.0094,0.1423,20.6402,23.8033,385046400,N/A,1925232000,18240000,0,91200000,45.49,13.6605,4.5597,82.0136,
002615.SZ,นþถ๛หน,2011-11-10,6.5874,6.4282,6.5874,6.3658,6.4407,2726863,56418841,-0.1467,-2.2264,20.69,14.9499,376473600,N/A,1882368000,18240000,0,91200000,44.4772,13.3564,4.4582,80.1876,
002615.SZ,นþถ๛หน,2011-11-11,6.4407,6.4002,6.5219,6.2878,6.4938,2723114,56117134.2,0.053,0.8236,20.6077,14.9294,379574400,N/A,1897872000,18240000,0,91200000,44.8435,13.4664,4.4949,80.8481,
002615.SZ,นþถ๛หน,2011-11-14,6.4938,6.4938,6.4938,6.4938,6.4938,N/A,N/A,0,0,N/A,N/A,379574400,N/A,1897872000,18240000,0,91200000,44.8435,13.4664,4.4949,80.8481,
002615.SZ,นþถ๛หน,2011-11-15,6.4938,6.6748,6.7559,6.5063,6.5375,4332854,91989468.4,0.0437,0.6728,21.2307,23.7547,382128000,N/A,1910640000,18240000,0,91200000,45.1452,13.557,4.5251,81.392,
002615.SZ,นþถ๛หน,2011-11-16,6.5375,6.5531,6.5531,5.9695,6.1568,2724785,54958380.7,-0.3807,-5.8234,20.1698,14.9385,359875200,N/A,1799376000,18240000,0,91200000,42.5162,12.7675,4.2616,76.6522,
002615.SZ,นþถ๛หน,2011-11-17,6.1568,6.1412,6.3565,6.0382,6.163,2135171,42440437.5,0.0062,0.1014,19.8768,11.706,360240000,N/A,1801200000,18240000,0,91200000,42.5593,12.7804,4.2659,76.7299,
002615.SZ,นþถ๛หน,2011-11-18,6.163,6.2379,6.7809,6.1942,6.7809,6304956,131642459.1,0.6179,10.0253,20.8792,34.5666,396355200,N/A,1981776000,18240000,0,91200000,46.826,14.0617,4.6936,84.4224,
002615.SZ,นþถ๛หน,2011-11-21,6.7809,6.8495,7.4268,6.7902,7.2084,9391639,213650279.8,0.4275,6.3046,22.749,51.4892,421344000,N/A,2106720000,18240000,0,91200000,49.7782,14.9483,4.9895,89.7449,
002615.SZ,นþถ๛หน,2011-11-22,7.2084,7.1397,7.3488,6.9026,7.3488,6286227,144044508.6,0.1404,1.9481,22.9143,34.464,429552000,N/A,2147760000,18240000,0,91200000,50.7479,15.2395,5.0867,91.4932,
002615.SZ,นþถ๛หน,2011-11-23,7.3488,7.2552,7.3113,7.0679,7.2333,4365761,100516894.3,-0.1155,-1.5711,23.0239,23.9351,422803200,N/A,2114016000,18240000,0,91200000,49.9506,15,5.0068,90.0557,
002615.SZ,นþถ๛หน,2011-11-24,7.2333,7.1148,7.2521,6.8589,7.1928,5022157,113960495.1,-0.0406,-0.5608,22.6915,27.5338,420432000,N/A,2102160000,18240000,0,91200000,49.6705,14.9159,4.9787,89.5506,
002615.SZ,นþถ๛หน,2011-11-25,7.1928,7.0991,7.1335,6.7091,6.7216,4513619,99942395.7,-0.4712,-6.551,22.1424,24.7457,392889600,N/A,1964448000,18240000,0,91200000,46.4166,13.9388,4.6526,83.6842,
002615.SZ,นþถ๛หน,2011-11-28,6.7216,6.7653,6.7715,6.4126,6.5437,3353834,70271155.1,-0.1779,-2.6462,20.9525,18.3872,382492800,N/A,1912464000,18240000,0,91200000,45.1883,13.5699,4.5294,81.4697,
002615.SZ,นþถ๛หน,2011-11-29,6.5437,6.6248,6.6373,6.4314,6.6373,2885524,60499547.2,0.0936,1.4306,20.9666,15.8198,387964800,N/A,1939824000,18240000,0,91200000,45.8348,13.764,4.5942,82.6352,
002615.SZ,นþถ๛หน,2011-11-30,6.6373,6.6092,7.2364,6.5687,6.9338,7916806,175927726.1,0.2964,4.4664,22.2221,43.4035,405292800,N/A,2026464000,18240000,0,91200000,47.8819,14.3788,4.7994,86.326,
002615.SZ,นþถ๛หน,2011-12-01,6.9338,6.9774,7.5953,6.9774,7.2521,7705417,178917747.5,0.3183,4.5905,23.2197,42.2446,423897600,N/A,2119488000,18240000,0,91200000,50.0799,15.0388,5.0198,90.2888,
002615.SZ,นþถ๛หน,2011-12-02,7.2521,7.1054,7.1335,6.5281,6.5281,4775877,103547651.9,-0.724,-9.9828,21.6814,26.1835,381580800,N/A,1907904000,18240000,0,91200000,45.0805,13.5376,4.5186,81.2755,
002615.SZ,นþถ๛หน,2011-12-05,6.5281,6.2722,6.2722,5.8759,5.8759,4022287,77295208.4,-0.6522,-9.9904,19.2167,22.052,343459200,N/A,1717296000,18240000,0,91200000,40.5768,12.1851,4.0672,73.1557,
002615.SZ,นþถ๛หน,2011-12-06,5.8759,5.7917,6.0787,5.6419,5.982,3435330,64958024.7,0.1061,1.8056,18.9088,18.834,349660800,N/A,1748304000,18240000,0,91200000,41.3095,12.4051,4.1406,74.4766,
002615.SZ,นþถ๛หน,2011-12-07,5.982,5.9851,5.9851,5.67,5.7948,3026039,56395346.6,-0.1872,-3.1299,18.6367,16.5901,338716800,N/A,1693584000,18240000,0,91200000,40.0165,12.0168,4.0111,72.1456,
002615.SZ,นþถ๛หน,2011-12-08,5.7948,5.7386,5.9602,5.5763,5.8509,3318819,61491612.7,0.0562,0.9693,18.5282,18.1953,342000000,N/A,1710000000,18240000,0,91200000,40.4044,12.1333,4.0499,72.8449,
002615.SZ,นþถ๛หน,2011-12-09,5.8509,5.6918,5.801,5.62,5.6793,3227313,58803144.3,-0.1716,-2.9333,18.2205,14.1549,414960000,N/A,1659840000,22800000,0,91200000,39.2192,11.7774,3.9311,70.7081,
002615.SZ,นþถ๛หน,2011-12-12,5.6793,5.6762,5.7573,5.6169,5.7136,2585483,47303598.9,0.0343,0.6044,18.2958,11.3398,417468000,N/A,1669872000,22800000,0,91200000,39.4563,11.8486,3.9549,71.1355,
002615.SZ,นþถ๛หน,2011-12-13,5.7136,5.6793,5.7605,5.3735,5.4297,2656178,46934689.4,-0.284,-4.97,17.67,11.6499,396720000,N/A,1586880000,22800000,0,91200000,37.4953,11.2597,3.7583,67.6,
002615.SZ,นþถ๛หน,2011-12-14,5.4297,5.3766,5.4921,5.2674,5.4234,2542255,43963894.7,-0.0062,-0.1149,17.2933,11.1502,396264000,N/A,1585056000,22800000,0,91200000,37.4522,11.2468,3.754,67.5223,
002615.SZ,นþถ๛หน,2011-12-15,5.4234,5.3423,5.4234,4.946,4.9866,3790477,62937889.3,-0.4369,-8.0552,16.6042,16.6249,364344000,N/A,1457376000,22800000,0,91200000,34.4353,10.3408,3.4516,62.0833,
002615.SZ,นþถ๛หน,2011-12-16,4.9866,5.0115,5.2081,4.971,5.1988,2835803,46094612.3,0.2122,4.2553,16.2545,12.4377,379848000,N/A,1519392000,22800000,0,91200000,35.9007,10.7809,3.5985,64.7251,
