代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
300057.SZ,万顺股份,2010-02-26,N/A,9.7715,10.9442,9.7572,9.9661,25855641,544778359,N/A,N/A,21.07,60.9803,889976000,N/A,4428890000,42400000,0,211000000,54.9304,12.987,6.2492,356.347,
300057.SZ,万顺股份,2010-03-01,9.9661,9.9471,10.0943,9.6528,10.0468,10281827,215365709.8,0.0807,0.8099,20.9462,24.2496,897184000,N/A,4464760000,42400000,0,211000000,55.3753,13.0922,6.2999,359.2331,
300057.SZ,万顺股份,2010-03-02,10.0468,9.9709,10.1798,9.8902,10.1608,8970319,189990593.4,0.114,1.1342,21.1799,21.1564,907360000,N/A,4515400000,42400000,0,211000000,56.0034,13.2407,6.3713,363.3076,
300057.SZ,万顺股份,2010-03-03,10.1608,10.213,10.3935,10.1133,10.1276,10151339,218994161.1,-0.0332,-0.3271,21.5729,23.9418,904392000,N/A,4500630000,42400000,0,211000000,55.8202,13.1974,6.3505,362.1192,
300057.SZ,万顺股份,2010-03-04,10.1276,9.9946,10.1276,9.6623,9.6765,7119205,147838110.5,-0.4511,-4.4538,20.7661,16.7906,864112000,N/A,4300180000,42400000,0,211000000,53.3341,12.6096,6.0676,345.9911,
300057.SZ,万顺股份,2010-03-05,9.6765,9.6433,9.8427,9.6385,9.8332,3657306,75168063.8,0.1567,1.6192,20.5529,8.6257,878104000,N/A,4369810000,42400000,0,211000000,54.1977,12.8138,6.1659,351.5935,
300057.SZ,万顺股份,2010-03-08,9.8332,9.8427,9.8949,9.7382,9.8237,2822184,58314877.8,-0.0095,-0.0966,20.663,6.6561,877256000,N/A,4365590000,42400000,0,211000000,54.1453,12.8014,6.1599,351.2539,
300057.SZ,万顺股份,2010-03-09,9.8237,9.8189,9.8712,9.6623,9.8474,3765890,77380813.5,0.0237,0.2417,20.5478,8.8818,879376000,N/A,4376140000,42400000,0,211000000,54.2762,12.8323,6.1748,352.1028,
300057.SZ,万顺股份,2010-03-10,9.8474,9.8427,10.1276,9.8047,9.9614,5070436,106482575.5,0.114,1.1572,21.0007,11.9586,889552000,N/A,4426780000,42400000,0,211000000,54.9042,12.9808,6.2463,356.1772,
300057.SZ,万顺股份,2010-03-11,9.9614,9.9234,10.1371,9.743,10.0611,6110559,128256970.4,0.0997,1.001,20.9894,14.4117,898456000,N/A,4471090000,42400000,0,211000000,55.4538,13.1107,6.3088,359.7424,
