´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
300474.SZ,¾°¼ÎÎ¢,2016-03-31,N/A,16.37,19.64,16.37,19.64,14142,274971.9,N/A,N/A,19.4436,0.0422,657940000,N/A,2621940000,33500000,0,133500000,29.475,6.6557,10.9394,77.9708,
300474.SZ,¾°¼ÎÎ¢,2016-04-01,19.64,21.6,21.6,21.6,21.6,5505,118908,1.96,9.9796,21.6,0.0164,723600000,N/A,2883600000,33500000,0,133500000,32.4165,7.3199,12.0311,85.752,
300474.SZ,¾°¼ÎÎ¢,2016-04-05,21.6,23.76,23.76,23.76,23.76,2507,59566.3,2.16,10,23.76,0.0075,795960000,N/A,3171960000,33500000,0,133500000,35.6581,8.0519,13.2342,94.3272,
300474.SZ,¾°¼ÎÎ¢,2016-04-06,23.76,26.14,26.14,26.14,26.14,9247,241716.6,2.38,10.0168,26.14,0.0276,875690000,N/A,3489690000,33500000,0,133500000,39.2299,8.8584,14.5598,103.7758,
300474.SZ,¾°¼ÎÎ¢,2016-04-07,26.14,28.75,28.75,28.75,28.75,7885,226693.8,2.61,9.9847,28.75,0.0235,963125000,N/A,3838125000,33500000,0,133500000,43.1469,9.7429,16.0136,114.1375,
300474.SZ,¾°¼ÎÎ¢,2016-04-08,28.75,31.63,31.63,31.63,31.63,14256,450917.3,2.88,10.0174,31.63,0.0426,1059605000,N/A,4222605000,33500000,0,133500000,47.4691,10.7189,17.6177,125.5711,
300474.SZ,¾°¼ÎÎ¢,2016-04-11,31.63,34.79,34.79,34.79,34.79,10300,358337,3.16,9.9905,34.79,0.0307,1165465000,N/A,4644465000,33500000,0,133500000,52.2115,11.7898,19.3778,138.1163,
300474.SZ,¾°¼ÎÎ¢,2016-04-12,34.79,38.27,38.27,38.27,38.27,14700,562569,3.48,10.0029,38.27,0.0439,1282045000,N/A,5109045000,33500000,0,133500000,57.4342,12.9691,21.3161,151.9319,
300474.SZ,¾°¼ÎÎ¢,2016-04-13,38.27,42.1,42.1,42.1,42.1,61452,2587129.2,3.83,10.0078,42.1,0.1834,1410350000,N/A,5620350000,33500000,0,133500000,63.1821,14.267,23.4494,167.137,
300474.SZ,¾°¼ÎÎ¢,2016-04-14,42.1,46.31,46.31,46.31,46.31,63136,2923828.2,4.21,10,46.31,0.1885,1551385000,N/A,6182385000,33500000,0,133500000,69.5003,15.6937,25.7944,183.8507,
300474.SZ,¾°¼ÎÎ¢,2016-04-15,46.31,50.94,50.94,50.94,50.94,102375,5214982.5,4.63,9.9978,50.94,0.3056,1706490000,N/A,6800490000,33500000,0,133500000,76.4488,17.2628,28.3732,202.2318,
300474.SZ,¾°¼ÎÎ¢,2016-04-18,50.94,56.03,56.03,56.03,56.03,102554,5746100.6,5.09,9.9921,56.03,0.3061,1877005000,N/A,7480005000,33500000,0,133500000,84.0877,18.9877,31.2083,222.4391,
300474.SZ,¾°¼ÎÎ¢,2016-04-19,56.03,61.63,61.63,61.63,61.63,63509,3914059.7,5.6,9.9946,61.63,0.1896,2064605000,N/A,8227605000,33500000,0,133500000,92.492,20.8855,34.3275,244.6711,
300474.SZ,¾°¼ÎÎ¢,2016-04-20,61.63,67.79,67.79,67.79,67.79,196690,13333615.1,6.16,9.9951,67.79,0.5871,2270965000,N/A,9049965000,33500000,0,133500000,101.7367,22.973,37.7586,269.1263,
300474.SZ,¾°¼ÎÎ¢,2016-04-21,67.79,74.57,74.57,74.57,74.57,163097,12162143.3,6.78,10.0015,74.57,0.4869,2498095000,N/A,9955095000,33500000,0,133500000,111.9119,25.2706,41.535,296.0429,
300474.SZ,¾°¼ÎÎ¢,2016-04-22,74.57,82.03,82.03,82.03,82.03,179122,14693377.7,7.46,10.004,82.03,0.5347,2748005000,N/A,10951005000,33500000,0,133500000,123.1075,27.7987,45.6902,325.6591,
300474.SZ,¾°¼ÎÎ¢,2016-04-25,82.03,90.23,90.23,90.23,90.23,182137,16434221.5,8.2,9.9963,90.23,0.5437,3022705000,N/A,12045705000,33500000,0,133500000,135.4138,30.5775,50.2575,358.2131,
300474.SZ,¾°¼ÎÎ¢,2016-04-26,90.23,99.25,99.25,99.25,99.25,160400,15919700,9.02,9.9967,99.25,0.4788,3324875000,N/A,13249875000,33500000,0,133500000,148.9507,33.6343,55.2816,394.0225,
300474.SZ,¾°¼ÎÎ¢,2016-04-27,99.25,109.18,109.18,109.18,109.18,95361,10411514,9.93,10.005,109.18,0.2847,3657530000,N/A,14575530000,33500000,0,133500000,163.8532,36.9994,60.8125,433.4445,
300474.SZ,¾°¼ÎÎ¢,2016-04-28,109.18,120.1,120.1,120.1,120.1,692487,83167688.7,10.92,10.0018,120.1,2.0671,4023350000,N/A,16033350000,33500000,0,133500000,180.2416,40.7,66.8949,476.797,
300474.SZ,¾°¼ÎÎ¢,2016-04-29,120.1,132.11,132.11,123.71,123.75,22784641,2942638663.1,3.65,3.0391,129.1501,68.0139,4145625000,N/A,16520625000,33500000,0,133500000,185.7193,41.937,68.9279,491.2874,
300474.SZ,¾°¼ÎÎ¢,2016-05-03,123.75,118,118.44,111.88,114.6,12133623,1393733800.1,-9.15,-7.3939,114.8654,36.2198,3839100000,N/A,15299100000,33500000,0,133500000,171.9874,38.8362,63.8314,454.962,
300474.SZ,¾°¼ÎÎ¢,2016-05-04,114.6,115.06,119.8,114.5,115.3,8988608,1049426954.9,0.7,0.6108,116.7508,26.8317,3862550000,N/A,15392550000,33500000,0,133500000,173.0379,39.0734,64.2213,457.741,
300474.SZ,¾°¼ÎÎ¢,2016-05-05,115.3,115.89,119.56,114.11,117.96,7409031,869843595,2.66,2.307,117.4032,22.1165,3951660000,N/A,15747660000,33500000,0,133500000,177.0299,39.9748,65.7029,468.3011,
300474.SZ,¾°¼ÎÎ¢,2016-05-06,117.96,116.65,118.49,111.78,111.78,7371836,846826911.9,-6.18,-5.2391,114.8733,22.0055,3744630000,N/A,14922630000,33500000,0,133500000,167.7552,37.8805,62.2607,443.7666,
300474.SZ,¾°¼ÎÎ¢,2016-05-09,111.78,110,110.77,101.11,102.43,6512719,688705889.2,-9.35,-8.3646,105.7478,19.441,3431405000,N/A,13674405000,33500000,0,133500000,153.7231,34.7119,57.0528,406.6471,
300474.SZ,¾°¼ÎÎ¢,2016-05-10,102.43,102.25,104.65,101.5,102.99,3881463,399904740.1,0.56,0.5467,103.0294,11.5865,3450165000,N/A,13749165000,33500000,0,133500000,154.5635,34.9017,57.3648,408.8703,
300474.SZ,¾°¼ÎÎ¢,2016-05-11,102.99,104,104.37,98.51,98.58,4725910,474577000.7,-4.41,-4.282,100.4202,14.1072,3302430000,N/A,13160430000,33500000,0,133500000,147.9452,33.4072,54.9084,391.3626,
300474.SZ,¾°¼ÎÎ¢,2016-05-12,98.58,95.12,100.67,93.37,99.55,4376789,425232427.8,0.97,0.984,97.1563,13.065,3334925000,N/A,13289925000,33500000,0,133500000,149.4009,33.736,55.4487,395.2135,
300474.SZ,¾°¼ÎÎ¢,2016-05-13,99.55,98.11,104.28,98.11,101.53,4435346,449031870.1,1.98,1.989,101.2394,13.2398,3401255000,N/A,13554255000,33500000,0,133500000,152.3724,34.4069,56.5515,403.0741,
300474.SZ,¾°¼ÎÎ¢,2016-05-16,101.53,102.38,105.5,101.55,103.91,5180648,536364608.7,2.38,2.3441,103.5323,15.4646,3480985000,N/A,13871985000,33500000,0,133500000,155.9442,35.2135,57.8772,412.5227,
300474.SZ,¾°¼ÎÎ¢,2016-05-17,103.91,104.61,106.9,102.69,102.71,4468511,468318401.9,-1.2,-1.1548,104.8041,13.3388,3440785000,N/A,13711785000,33500000,0,133500000,154.1433,34.8068,57.2088,407.7587,
300474.SZ,¾°¼ÎÎ¢,2016-05-18,102.71,100,100.83,93.48,94.98,4912612,475837461.9,-7.73,-7.526,96.8604,14.6645,3181830000,N/A,12679830000,33500000,0,133500000,142.5424,32.1873,52.9032,377.0706,
300474.SZ,¾°¼ÎÎ¢,2016-05-19,94.98,94.88,100.08,94.55,96.69,4278470,418075065.6,1.71,1.8004,97.716,12.7716,3239115000,N/A,12908115000,33500000,0,133500000,145.1087,32.7667,53.8557,383.8593,
300474.SZ,¾°¼ÎÎ¢,2016-05-20,96.69,95,105.6,94.05,104.25,6433248,651233394.5,7.56,7.8188,101.2293,19.2037,3492375000,N/A,13917375000,33500000,0,133500000,156.4545,35.3287,58.0666,413.8725,
300474.SZ,¾°¼ÎÎ¢,2016-05-23,104.25,106.09,114.68,106.09,114.68,8505275,950331981.2,10.43,10.0048,111.7344,25.3889,3841780000,N/A,15309780000,33500000,0,133500000,172.1074,38.8633,63.876,455.2796,
300474.SZ,¾°¼ÎÎ¢,2016-05-24,114.68,114.78,122.39,113.91,117.37,8417236,988152182.5,2.69,2.3457,117.3963,25.1261,3931895000,N/A,15668895000,33500000,0,133500000,176.1445,39.7749,65.3743,465.9589,
300474.SZ,¾°¼ÎÎ¢,2016-05-25,117.37,118.3,122.88,115.01,115.1,6943439,823296256,-2.27,-1.9341,118.5718,20.7267,3855850000,N/A,15365850000,33500000,0,133500000,172.7377,39.0056,64.1099,456.947,
300474.SZ,¾°¼ÎÎ¢,2016-05-26,115.1,115,123.85,114.01,122.69,6780211,799928375.9,7.59,6.5943,117.9799,20.2394,4110115000,N/A,16379115000,33500000,0,133500000,184.1285,41.5777,68.3375,487.0793,
300474.SZ,¾°¼ÎÎ¢,2016-05-27,122.69,123,127.69,117.6,118,6610037,809538694.1,-4.69,-3.8226,122.4711,19.7315,3953000000,N/A,15753000000,33500000,0,133500000,177.09,39.9884,65.7252,468.46,
300474.SZ,¾°¼ÎÎ¢,2016-05-30,118,116,129.8,115.11,128.99,9079418,1135385268.9,10.99,9.3136,125.0504,27.1027,4321165000,N/A,17220165000,33500000,0,133500000,193.5833,43.7127,71.8466,512.0903,
300474.SZ,¾°¼ÎÎ¢,2016-05-31,128.99,127,133.55,125,130.02,10168150,1316497483.7,1.03,0.7985,129.4727,30.3527,4355670000,N/A,17357670000,33500000,0,133500000,195.1291,44.0618,72.4203,516.1794,
300474.SZ,¾°¼ÎÎ¢,2016-06-01,130.02,130.9,138.9,130.9,134.49,8601928,1157725729.3,4.47,3.4379,134.5891,25.6774,4505415000,N/A,17954415000,33500000,0,133500000,201.8375,45.5766,74.91,533.9252,
300474.SZ,¾°¼ÎÎ¢,2016-06-02,134.49,133,137.03,130.56,135.7,5774834,772272379.9,1.21,0.8997,133.7307,17.2383,4545950000,N/A,18115950000,33500000,0,133500000,203.6535,45.9866,75.584,538.7289,
300474.SZ,¾°¼ÎÎ¢,2016-06-03,135.7,133.51,143.58,133.3,133.7,7640054,1058621970.7,-2,-1.4738,138.5621,22.8061,4478950000,N/A,17848950000,33500000,0,133500000,200.6519,45.3089,74.47,530.7889,
300474.SZ,¾°¼ÎÎ¢,2016-06-06,133.7,132.09,136.47,129.51,131.47,5737425,761287107.3,-2.23,-1.6679,132.6879,17.1266,4404245000,N/A,17551245000,33500000,0,133500000,197.3052,44.5531,73.2279,521.9359,
300474.SZ,¾°¼ÎÎ¢,2016-06-07,131.47,133.3,144.47,133.3,141.41,7437062,1025672999.5,9.94,7.5607,137.9137,22.2002,4737235000,N/A,18878235000,33500000,0,133500000,212.2228,47.9217,78.7644,561.3976,
